Blinding Lights;The Weeknd;Republic Records;letra;I said, ooh, I'm blinded by the lights, No, I can't sleep until I feel your touch;Pop;200;false;https://youtu.be/4NRXx6U8ABQ
Shape of You;Ed Sheeran;Asylum Records;poema;I'm in love with the shape of you, We push and pull like a magnet do, Although my heart is falling too, I'm in love with your body;Pop;233;false;https://youtu.be/JGwWNGJdvx8
Believer;Imagine Dragons;Interscope;letra;Pain! You made me a, you made me a believer, believer, Pain! You break me down, you build me up, believer, believer;Rock;204;false;https://youtu.be/7wtfhZwyrcc
Bad Guy;Billie Eilish;Darkroom;poema;So you're a tough guy, Like it really rough guy, Just can't get enough guy, Chest always so puffed guy, I'm that bad type, Make your mama sad type, Make your girlfriend mad type, Might seduce your dad type, I'm the bad guy, duh;Alternative;194;true;https://youtu.be/DyDfgMOUjCI
Uptown Funk;Mark Ronson ft. Bruno Mars;RCA Records;letra;Don't believe me, just watch, Uptown Funk you up, Uptown Funk you up, Uptown Funk you up, Uptown Funk you up;Funk;269;false;https://youtu.be/OPf0YbXqDm0
Dancing in the Rain;Sophie Ray;Oceanic Records;letra;I feel the rhythm in my soul,As the raindrops start to fall,Spinning under city lights,Dancing like there's no tomorrow;Pop;215;false;https://youtu.be/aB9xT7pLkQ2
Midnight Roads;Jack Rivers;Silverline Music;poema;The midnight roads call my name,Whispers echo through the lane,Stars above guide my way,Into dreams where I stay;Rock;240;false;https://youtu.be/xNp7fRdA3Bw
Sunset Boulevard;The Echoes;Sunset Studios;letra;Golden skies and fading light,Never wanted this night to end,Waves of sound, they carry me,On this boulevard of dreams;Indie;230;false;
Heartstrings;Emma Blue;Bluebird Records;letra;Pulling at my heartstrings tight,Love's a song in the quiet night,Every note a whisper true,Playing just for you;Acoustic;195;false;https://youtu.be/jHwVQbZsX91
City Lights;Neon Pulse;Electric Wave;poema;Neon lights flicker in the haze,Lost inside the city's maze,Heartbeat synced to urban sound,In these streets I'm spellbound;Electronic;210;false;
Frozen Dreams;Luna Frost;Crystal Beats;letra;Frozen dreams beneath the stars,Caught between the moon and Mars,Silent wishes on the breeze,Carried softly through the trees;Alternative;220;false;https://youtu.be/yLd9M4NaFq7
Wildfire;Ryder Lane;Firestorm Records;letra;Burning bright like wildfire's flame,Cannot be tamed or chained,Running free through open fields,This passion never yields;Country;205;false;
Echoes of You;Maya Grey;Silverline Music;poema;Echoes of you in every song,Memories that linger long,Softly calling through the night,Guiding me to morning light;Pop;225;false;https://youtu.be/wXpKdTrsM2B
Broken Compass;The Wanderers;Roadtrip Records;letra;Lost without a map or guide,Searching for the changing tide,Every step a story told,In the wild, brave and bold;Rock;235;false;
Moonlight Sonata;Oliver Key;Classic Tunes;poema;Moonlight dances on the keys,Melodies drift on the breeze,Timeless notes forever stay,Echoing at break of day;Classical;260;false;https://youtu.be/vHtN7RWxYpL
Heartbeat City;Electric Dawn;Neon Nights;letra;Heartbeat racing through the night,City lights are burning bright,Dancing shadows, endless fun,Until the rising of the sun;Electronic;215;false;
Silver Lining;Isla White;Dreamscape Records;letra;Every cloud has a silver line,Holding hope through stormy times,Looking up beyond the gray,Finding peace along the way;Folk;200;false;https://youtu.be/zXtYv1QsBR9
Golden Horizon;The Sunsets;Skyline Records;poema;Golden horizons calling me,Beyond the shore and open sea,New adventures wait ahead,In every step that I tread;Pop;230;false;
Storm Chaser;Ryder Lane;Firestorm Records;letra;Chasing storms across the plains,Feeling wild inside my veins,Lightning strikes and thunder roars,Freedom’s calling, hear it soar;Country;210;false;https://youtu.be/mRnPL45WsAx
