After Hours;The Weeknd;Blinding Lights-The Weeknd
÷ (Divide);Ed Sheeran;Shape of You-Ed Sheeran
Evolve;Imagine Dragons;Believer-Imagine Dragons
When We All Fall Asleep, Where Do We Go?;Billie Eilish;Bad Guy-Billie Eilish
Uptown Special;Mark Ronson ft. Bruno Mars;Uptown Funk-Mark Ronson ft. Bruno Mars
City Rhythms;Sophie Ray;Dancing in the Rain-Sophie Ray,Starlit Path-Sophie Ray,Velvet Skies-Sophie Ray
Night Journeys;Jack Rivers;Midnight Roads-Jack Rivers,Silent Thunder-Jack Rivers,Silent Echo-Jack Rivers
Dreamscapes;The Echoes;Sunset Boulevard-The Echoes
Whispers in the Dark;Emma Blue;Heartstrings-Emma Blue,Golden Days-Emma Blue,Sunrise Glow-Emma Blue
Rust and Roses;Emma Blue;Rust and Roses-Emma Blue
Electric Nights;Neon Pulse;City Lights-Neon Pulse,Lost in Translation-Neon Pulse,Midnight Dance-Neon Pulse,Electric Pulse-Neon Pulse
Crystal Dreams;Luna Frost;Frozen Dreams-Luna Frost,Moonlit Dreams-Luna Frost
Midnight Whispers;Luna Frost;Velvet Night-Luna Frost,Whispered Secrets-Luna Frost
Blazing Trails;Ryder Lane;Wildfire-Ryder Lane,Thunder Road-Ryder Lane
Stormfire;Ryder Lane;Storm Chaser-Ryder Lane,Wild Hearts-Ryder Lane
Reflections;Maya Grey;Echoes of You-Maya Grey,Broken Wings-Maya Grey
Wanderlust;The Wanderers;Broken Compass-The Wanderers,Open Road-The Wanderers,City Shadows-The Wanderers,Rusty Chains-The Wanderers
Moonlight Melodies;Oliver Key;Moonlight Sonata-Oliver Key,Midnight Reverie-Oliver Key,Paper Planes-Oliver Key
Heartbeat City;Electric Dawn;Heartbeat City-Electric Dawn,Neon Dreams-Electric Dawn
Silver Skies;Isla White;Silver Lining-Isla White,Crystal Waves-Isla White,Ocean Eyes-Isla White,River Flow-Isla White
Golden Hours;The Sunsets;Golden Horizon-The Sunsets,Summer Breeze-The Sunsets
Scoring The End Of The World;Motionless In White;Masterpiece-Motionless In White,B.F.B.T.G-Motionless In White.
Creatures;Motionless In White;Creatures-Motionless In White
Infamous;Motionless In White;Sinematic-Motionless In White
Graveyard Shift;Motionless In White;Voices-Motionless In White,570-Motionless In White,Eternally yours-Motionless In White
Disguise;Motionless In White;Disguise-Motionless In White,Legacy-Motionless In White,Another life-Motionless In White
